model,scenario,region,variable,unit,2025,2030,2035,2040,2045,2050
Aladin v1,ExPol,Deutschland,Investment|Energy Demand|Transportation|Bus|ICE,billion EUR2020/yr,0.3706683178845461,0.09142568129264708,0.0619208609014574,0.00867217336520172,0.0,0.0
Aladin v1,ExPol,Deutschland,Investment|Energy Demand|Transportation|Domestic Aviation,billion EUR2020/yr,0.3784564403512521,0.3791328216360797,0.3278905430583451,0.2928217623920772,0.1116657449813948,0.06266720111824524
Aladin v1,ExPol,Deutschland,Investment|Energy Demand|Transportation|Domestic Aviation|BEV,billion EUR2020/yr,0.0,0.0,0.0,0.0,0.0,0.0
Aladin v1,ExPol,Deutschland,Investment|Energy Demand|Transportation|Domestic Aviation|FCEV,billion EUR2020/yr,0.0,0.0,0.0,0.0,0.0,0.0
Aladin v1,ExPol,Deutschland,Investment|Energy Demand|Transportation|Domestic Aviation|ICE,billion EUR2020/yr,0.0,0.0,0.0,0.0,0.0,0.0
Aladin v1,ExPol,Deutschland,Investment|Energy Demand|Transportation|Domestic Navigation,billion EUR2020/yr,0.2085885761589401,0.2021316225165559,0.1267591059602645,0.1086506622516551,0.1014072847682119,0.09503311258278128
Aladin v1,ExPol,Deutschland,Investment|Energy Demand|Transportation|Domestic Navigation|BEV,billion EUR2020/yr,0.0,0.0,0.0,0.0,0.0,0.0
Aladin v1,ExPol,Deutschland,Investment|Energy Demand|Transportation|Domestic Navigation|FCEV,billion EUR2020/yr,0.0,0.0,0.0,0.0,0.0,0.0
Aladin v1,ExPol,Deutschland,Investment|Energy Demand|Transportation|Domestic Navigation|ICE,billion EUR2020/yr,0.2085885761589401,0.2021316225165559,0.1267591059602645,0.1086506622516551,0.1014072847682119,0.09503311258278128
Aladin v1,ExPol,Deutschland,Investment|Energy Demand|Transportation|LDV,billion EUR2020/yr,67.88510516416302,74.28790611603988,71.7829862447289,71.92928374864641,72.72211597886984,73.73619725590952
Aladin v1,ExPol,Deutschland,Investment|Energy Demand|Transportation|LDV|Additional,billion EUR2020/yr,4.905002206114214,9.504492854410122,8.344935623803412,5.976831334705792,3.247802125931536,0.6305593682498218
Aladin v1,ExPol,Deutschland,Investment|Energy Demand|Transportation|LDV|BEV,billion EUR2020/yr,18.08369352728558,46.51714119943136,57.15489095509224,64.71734262790153,70.44353109862908,72.29808385186975
Aladin v1,ExPol,Deutschland,Investment|Energy Demand|Transportation|LDV|BEV|Additional,billion EUR2020/yr,3.943741708918168,7.655067299582406,6.953471289623169,5.400575251330364,3.093487233763152,0.5507640002731294
Aladin v1,ExPol,Deutschland,Investment|Energy Demand|Transportation|LDV|FCEV,billion EUR2020/yr,0.0,0.0,0.0,0.0,0.0,0.0
Aladin v1,ExPol,Deutschland,Investment|Energy Demand|Transportation|LDV|FCEV|Additional,billion EUR2020/yr,0.0,0.0,0.0,0.0,0.0,0.0
Aladin v1,ExPol,Deutschland,Investment|Energy Demand|Transportation|LDV|ICE,billion EUR2020/yr,43.61640165025112,13.33049522104453,1.441411443819888,0.151658413658132,0.065667138365402,0.019452480416476
Aladin v1,ExPol,Deutschland,Investment|Energy Demand|Transportation|LDV|PHEV,billion EUR2020/yr,6.185009986626244,14.44026969556392,13.1866838458167,7.060282707086752,2.212917741875362,1.418660923623254
Aladin v1,ExPol,Deutschland,Investment|Energy Demand|Transportation|LDV|PHEV|Additional,billion EUR2020/yr,0.9612604971960461,1.849425554827714,1.391464334180242,0.5762560833754279,0.1543148921683838,0.0797953679766932
Aladin v1,ExPol,Deutschland,Investment|Energy Demand|Transportation|Rail,billion EUR2020/yr,2.627904084886922,3.149341261007337,2.809140944626828,2.189645641891511,1.914379521997088,1.67473518929536
Aladin v1,ExPol,Deutschland,Investment|Energy Demand|Transportation|Rail|BEV,billion EUR2020/yr,2.601379717154597,3.139136286205332,2.80765225930674,2.189645641891511,1.914379521997088,1.67473518929536
Aladin v1,ExPol,Deutschland,Investment|Energy Demand|Transportation|Rail|FCEV,billion EUR2020/yr,0.0,0.0,0.0,0.0,0.0,0.0
Aladin v1,ExPol,Deutschland,Investment|Energy Demand|Transportation|Rail|ICE,billion EUR2020/yr,0.0265243677323226,0.01020497480201028,0.00148868532008856,0.0,0.0,0.0
Aladin v1,ExPol,Deutschland,Investment|Energy Demand|Transportation|Truck,billion EUR2020/yr,25.82175031969418,29.86674241487236,31.92822927014744,32.34952830960874,33.10392773492016,35.08437104364188
Aladin v1,ExPol,Deutschland,Investment|Energy Demand|Transportation|Truck|Additional,billion EUR2020/yr,1.687482814248626,3.175288622142952,3.278366620181464,2.038962711296034,-0.03551131835656361,-2.228064365068702
Aladin v1,ExPol,Deutschland,Investment|Energy Demand|Transportation|Truck|BEV,billion EUR2020/yr,9.031840079457115,22.49074689798244,29.2342616408223,31.5892512731117,32.21934974236138,33.8462602372371
Aladin v1,ExPol,Deutschland,Investment|Energy Demand|Transportation|Truck|BEV|Additional,billion EUR2020/yr,1.409802066929934,3.013671627089562,3.15388476096704,1.994805493846826,-0.1752588456180408,-2.419765929354992
Aladin v1,ExPol,Deutschland,Investment|Energy Demand|Transportation|Truck|FCEV,billion EUR2020/yr,0.0,0.000550346310328664,0.0161325542329752,0.0044718671901692,0.001352739247957,0.000900012063399357
Aladin v1,ExPol,Deutschland,Investment|Energy Demand|Transportation|Truck|FCEV|Additional,billion EUR2020/yr,0.0,0.0001236288909775408,0.001116366380497676,8.861273742977645e-05,-8.071641316404225e-05,-0.000164009368352129
Aladin v1,ExPol,Deutschland,Investment|Energy Demand|Transportation|Truck|ICE,billion EUR2020/yr,15.24405287270538,6.305924479021354,1.579306091220694,0.192594566673774,0.0351714723591034,0.018605635631406
Aladin v1,ExPol,Deutschland,Investment|Energy Demand|Transportation|Truck|Overhead Line|BEV,billion EUR2020/yr,0.0045720655358748,0.0112583881798474,0.0110245619952948,0.0431662029530746,0.5809560135599237,0.997179925430748
Aladin v1,ExPol,Deutschland,Investment|Energy Demand|Transportation|Truck|Overhead Line|BEV|Additional,billion EUR2020/yr,0.0021733319890324,0.0041316302580552,0.0035547069078556,0.01163380684198117,0.138325727570166,0.2020794213832134
Aladin v1,ExPol,Deutschland,Investment|Energy Demand|Transportation|Truck|Overhead Line|ICE,billion EUR2020/yr,0.0458531223216104,0.3059106421313604,0.9662122835108933,0.4983441931279109,0.2573885341604804,0.2143647480473306
Aladin v1,ExPol,Deutschland,Investment|Energy Demand|Transportation|Truck|Overhead Line|ICE|Additional,billion EUR2020/yr,0.0113876073211902,0.04614406650226401,0.1013514175169606,0.0289011414567858,0.0001907778122416055,-0.0107435313561816
Aladin v1,ExPol,Deutschland,Investment|Energy Demand|Transportation|Truck|PHEV,billion EUR2020/yr,1.495432179674203,0.7523516612470185,0.1212921383652948,0.0217002065521024,0.00970923323132,0.007060485231942201
